,winloss,championPlayed,kills,deaths,assists
704,1,104,13,3,20
705,0,89,1,9,11
706,0,222,8,8,7
707,0,126,1,10,4
708,0,245,7,7,5
709,0,876,3,7,7
710,0,16,1,8,6
711,0,234,1,2,3
712,0,2,2,6,1
713,0,54,1,2,1
714,0,145,6,4,2
715,1,76,8,0,4
716,1,111,2,5,11
717,1,126,3,3,5
718,1,18,6,3,10
719,1,268,3,1,5
720,0,42,4,1,3
721,0,15,1,3,4
722,0,78,1,2,1
723,0,12,1,5,6
724,0,76,4,4,4
725,1,2,7,1,4
726,1,517,3,4,2
727,1,526,2,2,8
728,1,523,2,1,5
729,1,126,1,3,6
730,1,145,11,6,9
731,1,526,2,6,17
732,1,79,5,7,8
733,1,2,18,4,9
734,1,43,0,7,20
735,0,777,5,6,7
736,0,12,1,6,14
737,0,28,8,7,12
738,0,18,9,7,5
739,0,126,7,10,15
740,0,245,1,4,1
741,0,28,0,5,4
742,0,126,1,3,0
743,0,18,1,5,3
744,0,89,2,3,2
745,1,523,2,2,5
746,1,876,9,2,3
747,1,23,4,0,2
748,1,246,4,1,1
749,1,12,1,0,8
750,0,81,0,3,2
751,0,43,1,5,7
752,0,246,5,4,5
753,0,150,0,6,2
754,0,203,9,8,2
755,1,51,10,2,4
756,1,64,4,3,9
757,1,25,1,3,14
758,1,58,5,1,4
759,1,69,6,6,6
760,1,145,7,2,2
761,1,60,6,3,6
762,1,61,1,2,8
763,1,79,2,4,4
764,1,126,4,2,7
765,0,18,3,4,3
766,0,89,1,3,4
767,0,103,1,3,5
768,0,104,5,4,2
769,0,777,3,6,1
770,1,126,2,6,4
771,1,7,9,1,8
772,1,18,10,4,10
773,1,104,5,4,8
774,1,526,1,5,16
775,0,145,3,6,8
776,0,64,12,6,2
777,0,42,0,5,7
778,0,12,2,6,6
779,0,117,3,4,8
780,1,157,2,6,10
781,1,412,3,3,20
782,1,104,18,0,4
783,1,79,6,2,15
784,1,222,14,4,6
785,0,2,3,8,1
786,0,777,1,13,1
787,0,498,5,10,3
788,0,134,5,4,3
789,0,12,1,8,8
790,0,81,3,3,3
791,0,104,4,3,3
792,0,245,4,5,5
793,0,526,1,4,8
794,0,14,1,2,2
795,1,15,3,2,7
796,1,12,2,4,6
797,1,876,8,1,1
798,1,126,4,1,4
799,1,142,0,5,3
800,0,141,6,11,16
801,0,245,9,3,8
802,0,147,3,4,18
803,0,235,10,8,17
804,0,14,5,8,5
805,1,236,5,9,8
806,1,2,9,7,9
807,1,350,2,6,21
808,1,517,5,5,4
809,1,126,13,6,8
810,0,238,8,8,4
811,0,412,2,6,17
812,0,31,7,8,12
813,0,76,14,7,7
814,0,523,4,5,12
815,1,62,11,7,12
816,1,245,8,7,13
817,1,64,6,6,14
818,1,147,5,4,20
819,1,21,4,11,16
820,1,55,10,3,6
821,1,79,5,1,8
822,1,421,9,5,9
823,1,51,4,2,9
824,1,58,5,3,6
825,0,497,1,6,10
826,0,876,2,6,8
827,0,68,2,9,5
828,0,555,7,6,3
829,0,498,2,6,6
830,0,126,0,8,3
831,0,14,1,4,8
832,0,235,3,5,7
833,0,61,3,5,3
834,0,203,5,4,1
835,1,526,1,3,13
836,1,236,6,2,7
837,1,18,3,4,6
838,1,79,10,0,11
839,1,245,6,3,3
840,0,111,0,8,1
841,0,54,3,8,5
842,0,9,4,6,3
843,0,238,3,8,3
844,0,235,2,11,2
845,1,126,10,2,5
846,1,28,12,2,10
847,1,147,8,0,12
848,1,497,3,2,20
849,1,41,8,6,6
850,0,89,1,3,7
851,0,81,2,8,4
852,0,126,7,6,3
853,0,147,2,3,8
854,0,76,3,3,8
855,1,268,3,4,7
856,1,223,2,4,9
857,1,235,2,1,9
858,1,234,11,4,2
859,1,141,5,2,6
860,1,104,8,1,7
861,1,145,5,2,9
862,1,4,5,1,12
863,1,126,3,4,8
864,1,111,3,3,14
865,0,3,3,8,4
866,0,25,1,5,8
867,0,64,3,5,1
868,0,79,2,4,3
869,0,21,2,2,5
870,0,16,3,6,9
871,0,141,6,11,5
872,0,68,4,5,7
873,0,498,7,5,4
874,0,150,5,9,6
875,1,126,12,6,11
876,1,30,3,4,15
877,1,18,7,3,5
878,1,9,12,6,8
879,1,526,2,6,10
880,0,523,2,6,4
881,0,268,5,7,4
882,0,526,3,7,6
883,0,28,8,9,3
884,0,67,2,11,3
885,1,68,9,3,13
886,1,4,2,4,9
887,1,150,6,6,10
888,1,235,5,5,19
889,1,104,18,2,6
890,0,526,3,4,3
891,0,23,1,3,0
892,0,18,2,3,3
893,0,164,0,5,1
894,0,79,0,1,3
895,1,12,0,2,8
896,1,58,3,1,4
897,1,145,5,2,0
898,1,69,3,0,1
899,1,76,5,1,3
900,0,497,0,2,3
901,0,80,2,3,2
902,0,13,2,1,2
903,0,18,0,2,0
904,0,104,1,2,3
905,1,202,2,0,3
906,1,254,0,3,5
907,1,150,4,1,1
908,1,517,4,1,3
909,1,12,0,0,5
910,0,30,2,4,6
911,0,119,7,8,2
912,0,234,4,8,6
913,0,12,3,5,11
914,0,254,5,8,8
915,1,150,6,2,15
916,1,18,4,2,6
917,1,13,4,9,11
918,1,432,2,6,18
919,1,76,17,2,13
920,0,13,10,6,6
921,0,2,4,8,8
922,0,267,2,9,13
923,0,92,3,8,4
924,0,29,4,7,7
925,1,114,9,7,5
926,1,412,2,5,21
927,1,68,13,3,12
928,1,120,7,3,17
929,1,523,7,5,11
930,0,81,1,4,4
931,0,3,0,4,6
932,0,54,1,5,5
933,0,2,8,5,0
934,0,61,0,6,4
935,1,222,1,2,5
936,1,62,11,1,2
937,1,266,5,3,5
938,1,9,6,2,9
939,1,12,1,2,8
940,1,876,5,4,9
941,1,134,3,6,6
942,1,80,6,5,6
943,1,79,1,2,11
944,1,236,17,2,7
945,0,26,3,3,6
946,0,245,1,8,0
947,0,126,4,8,2
948,0,81,7,2,2
949,0,120,4,11,6
950,1,429,3,4,7
951,1,54,2,2,6
952,1,26,3,2,16
953,1,2,6,1,9
954,1,6,14,2,2
955,0,60,3,2,2
956,0,41,3,8,0
957,0,43,2,5,6
958,0,13,0,10,3
959,0,15,3,3,4
960,0,201,0,5,13
961,0,268,7,5,5
962,0,126,4,7,11
963,0,498,4,10,7
964,0,30,13,7,6
965,1,18,12,7,5
966,1,497,2,3,19
967,1,64,13,4,8
968,1,147,1,8,12
969,1,62,6,6,6
970,0,81,1,2,2
971,0,150,0,5,0
972,0,76,2,6,1
973,0,432,0,3,3
974,0,777,1,3,2
975,1,126,6,0,2
976,1,235,1,1,8
977,1,203,11,0,0
978,1,142,1,2,5
979,1,223,0,2,6
980,0,516,1,3,5
981,0,79,2,7,6
982,0,81,3,6,4
983,0,203,2,7,2
984,0,84,4,7,2
985,1,412,3,3,13
986,1,120,7,1,5
987,1,58,2,3,1
988,1,222,16,2,6
989,1,134,2,3,11
990,1,45,14,6,4
991,1,222,6,3,10
992,1,203,9,4,11
993,1,516,3,4,13
994,1,526,3,4,12
995,0,429,4,6,5
996,0,4,9,3,7
997,0,79,2,10,6
998,0,421,4,11,6
999,0,150,2,6,7
1000,0,222,2,7,1
1001,0,117,3,5,1
1002,0,150,0,4,5
1003,0,28,6,7,2
1004,0,246,2,4,5
1005,1,39,3,4,2
1006,1,164,1,4,4
1007,1,18,6,2,7
1008,1,68,14,2,8
