,winloss,championPlayed,kills,deaths,assists,goldEarned,inhibitorKills,turretKills,visionScore,csDiffPerMin,xpDiffPerMin,duration
5922,0,147,3,5,6,7277,0,0,41,"{'10-20': 0.15000000000000002, '0-10': -1.4}","{'10-20': 14.349999999999994, '0-10': -51.749999999999986}",1579
5923,0,235,3,6,9,9279,0,0,12,"{'10-20': 0.15000000000000002, '0-10': -1.4}","{'10-20': 14.349999999999994, '0-10': -51.749999999999986}",1579
5924,0,154,5,7,9,8595,0,0,31,"{'10-20': -4.699999999999999, '0-10': -4.1}","{'10-20': -95.5, '0-10': -162.70000000000002}",1579
5925,1,36,5,5,6,10522,0,0,18,"{'10-20': 0.8999999999999999, '0-10': -0.1}","{'10-20': -10.499999999999972, '0-10': 62.29999999999997}",1579
5926,1,18,8,3,6,14298,1,7,26,"{'10-20': -1.4, '0-10': 0.8000000000000003}","{'10-20': -3.1000000000000227, '0-10': -30.60000000000005}",1579
5927,1,145,7,3,8,11892,1,1,33,"{'10-20': -0.15000000000000002, '0-10': 1.4}","{'10-20': -14.349999999999994, '0-10': 51.749999999999986}",1579
5928,1,31,7,4,4,11476,0,2,22,"{'10-20': 4.699999999999999, '0-10': 4.1}","{'10-20': 95.5, '0-10': 162.70000000000002}",1579
5929,1,53,2,4,10,7472,0,0,55,"{'10-20': -0.15000000000000002, '0-10': 1.4}","{'10-20': -14.349999999999994, '0-10': 51.749999999999986}",1579
5930,0,18,2,4,3,11940,0,0,51,"{'10-20': -0.15000000000000036, '0-10': -0.95, '20-30': -0.09999999999999987}","{'10-20': -28.44999999999996, '0-10': -34.3, '20-30': -136.7}",2082
5931,0,245,3,8,4,10269,0,0,37,"{'10-20': 1, '0-10': 0.10000000000000006, '20-30': 0.19999999999999996}","{'10-20': -64, '0-10': -8.599999999999994, '20-30': -205.29999999999998}",2082
5932,0,17,3,3,5,11340,0,1,38,"{'10-20': -1.7999999999999998, '0-10': 1.6000000000000005, '20-30': -3.2}","{'10-20': -33.70000000000002, '0-10': 78, '20-30': -244.7}",2082
5933,0,526,1,5,4,6979,0,1,66,"{'10-20': -0.15000000000000036, '0-10': -0.95, '20-30': -0.09999999999999987}","{'10-20': -28.44999999999996, '0-10': -34.3, '20-30': -136.7}",2082
5934,0,62,5,6,3,12907,0,0,27,"{'10-20': -0.9000000000000004, '0-10': -2.9, '20-30': 3.0999999999999996}","{'10-20': -62.50000000000003, '0-10': -63.39999999999998, '20-30': -41.099999999999994}",2082
5935,1,498,8,3,6,14914,0,3,32,"{'10-20': 0.15000000000000036, '0-10': 0.95, '20-30': 0.09999999999999987}","{'10-20': 28.44999999999996, '0-10': 34.3, '20-30': 136.7}",2082
